"row","Id","Attrition","Age","CivilStatus","Education","Salary","ContractType","MonthsAtCompany","NumSalaryChanges","NumJobPositionChanges","HadPromotion","Occupation","Insalubrity","Periculosity","UnionMember","Stability","HomeDistance","HomeTime","HasDependents"
"1",1160,"Yes",27,"Single","5",8.45,"1",35,1,0,"No","13","Yes","No","No","No",1,3,"No"
"2",1175,"Yes",43,"United","3",2.91,"1",10,1,0,"No","13","Yes","No","No","No",17,29,"No"
"3",1176,"Yes",30,"Single","3",3.4,"1",53,1,0,"No","13","Yes","No","No","No",8,19,"No"
"4",1136,"Yes",42,"United","5",11.71,"1",100,1,0,"No","13","Yes","No","No","No",10,24,"No"
"5",1135,"Yes",33,"Single","5",8.01,"1",30,1,0,"No","13","Yes","No","No","No",0,2,"No"
"6",1145,"Yes",42,"Desunited","6",11.69,"1",13,1,0,"No","12","Yes","No","No","No",30,31,"No"
"7",564,"Yes",28,"Single","5",12.4,"10",47,1,0,"No","23","No","No","No","No",19,32,"No"
"8",566,"Yes",44,"United","6",13.03,"10",20,1,0,"No","23","No","No","No","No",23,43,"No"
"9",1110,"Yes",33,"United","6",12.74,"1",38,1,0,"No","12","Yes","No","No","No",31,34,"No"
"10",1130,"Yes",31,"Single","3",5.07,"1",97,1,0,"No","13","Yes","No","No","No",10,19,"No"
"11",1148,"Yes",34,"United","3",3.4,"1",53,1,0,"No","13","Yes","No","No","No",1,4,"No"
"12",1141,"Yes",26,"Single","3",3.4,"1",57,1,0,"No","13","Yes","No","No","No",3,10,"No"
"13",1138,"Yes",25,"Single","3",3.21,"1",43,1,0,"No","13","Yes","No","No","No",10,21,"No"
"14",1108,"Yes",31,"Single","3",2.28,"1",28,1,0,"No","10","Yes","No","No","No",0,3,"Yes"
"15",1173,"Yes",45,"United","2",2.11,"1",33,1,0,"No","28","Yes","No","No","No",11,25,"No"
"16",1129,"Yes",28,"United","3",3.29,"1",52,1,0,"No","13","Yes","No","No","No",26,40,"No"
"17",1115,"Yes",26,"Single","3",2.21,"1",17,1,0,"No","10","Yes","No","No","No",6,12,"Yes"
"18",1116,"Yes",20,"Single","3",3,"1",25,1,0,"No","13","Yes","No","No","No",10,24,"No"
"19",1117,"Yes",36,"Single","3",3.4,"1",49,1,0,"No","13","Yes","No","No","No",8,19,"No"
"20",1121,"Yes",29,"Single","3",3.57,"1",60,1,0,"No","13","Yes","No","No","Yes",18,25,"Yes"
"21",1123,"Yes",34,"Single","3",3,"1",31,1,0,"No","13","Yes","No","No","No",2,7,"Yes"
"22",1125,"Yes",34,"United","3",4.09,"1",66,1,0,"No","13","Yes","No","No","No",6,15,"No"
"23",1126,"Yes",25,"United","3",2,"1",31,1,0,"No","28","Yes","No","No","No",6,13,"Yes"
"24",1128,"Yes",28,"Single","5",11.69,"1",22,1,0,"No","12","Yes","No","No","No",31,32,"No"
"25",1167,"Yes",28,"United","3",2.91,"1",10,1,0,"No","13","Yes","No","No","No",26,39,"Yes"
"26",1595,"Yes",20,"Single","3",2.88,"1",15,1,0,"No","13","Yes","No","No","No",1,5,"No"
"27",1642,"Yes",26,"Single","3",2.88,"1",11,1,0,"No","13","Yes","No","No","No",10,18,"No"
"28",2079,"Yes",37,"United","5",12.74,"1",6,0,0,"No","12","Yes","No","No","No",18,22,"Yes"
"29",1706,"Yes",25,"Single","3",2.75,"1",45,0,0,"No","27","No","No","No","No",45,45,"No"
"30",1866,"Yes",28,"Single","3",0.72,"1",16,0,0,"No","10","No","No","No","No",6,17,"No"
"31",2357,"Yes",27,"Single","5",12.74,"1",12,0,0,"No","12","Yes","No","No","No",32,36,"No"
"32",1786,"Yes",26,"Single","5",13.6,"10",24,1,0,"No","23","No","No","No","No",1,5,"No"
"33",1789,"Yes",34,"Single","5",8.87,"10",34,1,0,"No","23","No","No","No","No",3,8,"No"
"34",2333,"Yes",31,"Single","3",3.98,"1",91,3,0,"No","10","No","No","No","No",0,1,"No"
"35",2329,"Yes",37,"United","2",3.63,"1",15,1,0,"No","27","No","No","No","No",41,49,"No"
"36",1957,"Yes",27,"United","3",2.11,"1",46,0,0,"No","28","No","No","No","Yes",0,2,"No"
"37",2690,"Yes",27,"Single","3",3.33,"1",47,0,0,"No","13","Yes","No","No","No",5,11,"No"
"38",3034,"Yes",19,"Single","3",2.82,"1",52,1,1,"No","13","No","No","No","No",4,9,"No"
"39",3030,"Yes",24,"Single","5",5.75,"1",41,0,0,"No","1","No","No","No","No",5,12,"No"
"40",2687,"Yes",39,"Single","4",4.92,"1",90,1,0,"No","13","Yes","No","No","No",1,5,"No"
"41",2688,"Yes",24,"Single","3",2.09,"1",28,3,0,"No","5","Yes","No","No","No",2,8,"No"
"42",2679,"Yes",44,"Single","3",2.09,"1",31,0,0,"No","28","Yes","No","No","No",2,7,"No"
"43",3027,"Yes",31,"Single","5",15.55,"10",68,1,0,"No","23","No","No","Yes","No",2,6,"No"
"44",3025,"Yes",33,"Single","5",15.55,"1",72,1,0,"No","17","No","No","No","Yes",19,25,"No"
"45",3410,"Yes",27,"Single","5",21.42,"10",29,1,0,"No","21","No","No","No","No",3,9,"No"
"46",3408,"Yes",34,"Single","6",9.29,"1",48,0,1,"No","21","No","No","No","No",1,6,"No"
"47",3456,"Yes",30,"United","5",10.19,"1",40,0,0,"No","13","Yes","No","No","Yes",0,2,"Yes"
"48",3461,"Yes",30,"Single","3",5.07,"1",71,1,0,"No","13","Yes","No","Yes","No",10,21,"No"
"49",3488,"Yes",29,"Single","5",15.57,"1",29,0,0,"No","12","Yes","No","No","No",29,34,"Yes"
"50",3495,"Yes",27,"Single","4",9.22,"10",35,0,0,"No","21","No","No","Yes","No",2,4,"No"
"51",3465,"Yes",30,"Single","5",12.74,"1",12,0,0,"No","12","Yes","No","No","No",29,30,"No"
"52",3480,"Yes",56,"United","5",9.81,"10",2,0,0,"No","23","No","No","No","No",0,2,"No"
"53",3489,"Yes",30,"Single","5",16.62,"1",37,0,0,"No","12","Yes","No","No","No",29,31,"No"
"54",3509,"Yes",29,"Single","5",8.29,"10",11,0,0,"No","23","No","No","No","No",1,4,"No"
"55",3493,"Yes",42,"Single","5",8.45,"1",8,0,0,"No","13","Yes","No","No","No",9,21,"No"
"56",3515,"Yes",31,"Single","5",9.9,"10",48,0,0,"No","23","No","No","Yes","No",4,12,"No"
